rot_x,rot_y,rot_z,LSTQ,S_assoc,things_iou,stuff_iou,S_cls
0,0,0,0.4395,0.4426,0.2069,0.5637,0.4364
0,10,0,0.1558,0.1521,0.014,0.2512,0.1597
10,0,0,0.1516,0.1579,0.0645,0.1779,0.1455
10,10,0,0.121,0.1618,0.0134,0.1383,0.0905
0,0,10,0.0851,0.0346,0.0093,0.3359,0.2094
10,10,10,0.0663,0.0742,0.0005,0.0966,0.0592
0,0,45,0.061,0.0683,0.0231,0.0773,0.0545
0,10,10,0.0548,0.0259,0.0028,0.1878,0.116
10,10,45,0.0525,0.0718,0.0003,0.0591,0.0384
10,10,300,0.052,0.0705,0.0037,0.0602,0.0384
0,0,30,0.0516,0.0359,0.0111,0.1134,0.0743
0,10,45,0.0456,0.0411,0.0006,0.0775,0.0504
10,10,30,0.0455,0.0472,0.0002,0.0676,0.0438
0,10,30,0.0454,0.0348,0.0,0.0968,0.0592
10,0,10,0.0433,0.0262,0.0113,0.1091,0.0717
10,0,45,0.0417,0.043,0.0146,0.0555,0.0404
10,30,45,0.041,0.0417,0.0,0.0623,0.0403
10,10,90,0.0398,0.0386,0.0004,0.0631,0.0411
0,30,30,0.0385,0.0392,0.0,0.0586,0.0379
30,0,0,0.0375,0.0666,0.0023,0.0308,0.021
30,10,300,0.0365,0.0457,0.0108,0.04,0.0292
10,30,30,0.0346,0.035,0.0,0.0559,0.0341
0,30,10,0.0341,0.0387,0.0,0.0492,0.0301
30,10,45,0.034,0.0555,0.0042,0.0291,0.0208
10,0,300,0.0326,0.025,0.0106,0.0659,0.0426
0,10,300,0.032,0.0251,0.0031,0.0644,0.0407
0,30,45,0.0305,0.027,0.0,0.0593,0.0343
30,10,0,0.0289,0.0403,0.0,0.0321,0.0208
30,60,120,0.0285,0.0213,0.0,0.0592,0.0383
0,30,300,0.028,0.024,0.0002,0.0504,0.0327
0,0,90,0.0277,0.0189,0.002,0.0649,0.0406
0,45,10,0.0275,0.0348,0.0,0.0336,0.0218
0,30,0,0.0274,0.0273,0.0,0.0451,0.0275
0,30,90,0.0274,0.0276,0.0,0.0444,0.0271
10,0,30,0.0272,0.0179,0.0015,0.063,0.0415
10,0,60,0.0266,0.0205,0.0032,0.0543,0.0346
10,45,45,0.0257,0.0211,0.0,0.0485,0.0314
10,0,90,0.0253,0.0165,0.0,0.0632,0.0386
10,10,120,0.0252,0.0185,0.0008,0.0527,0.0345
10,60,300,0.0247,0.0221,0.0,0.0428,0.0277
10,45,10,0.0245,0.026,0.0,0.0378,0.0231
30,10,90,0.0244,0.0284,0.0,0.0363,0.021
10,30,0,0.0244,0.0163,0.0,0.0596,0.0364
30,10,30,0.0239,0.0245,0.0,0.0362,0.0234
0,45,30,0.0234,0.018,0.0,0.0468,0.0303
0,45,45,0.0233,0.0168,0.0,0.05,0.0324
10,45,60,0.0227,0.0148,0.0,0.0573,0.035
0,0,60,0.0227,0.0116,0.0101,0.0655,0.0445
30,60,300,0.0225,0.0181,0.0,0.0433,0.028
0,60,300,0.0225,0.0208,0.0017,0.0385,0.0243
30,0,60,0.0224,0.0239,0.0019,0.0309,0.0209
0,60,10,0.0222,0.0235,0.0,0.0325,0.021
0,45,60,0.0221,0.0141,0.0,0.0536,0.0347
10,60,120,0.0221,0.0172,0.0,0.0463,0.0283
30,0,90,0.0219,0.0209,0.0002,0.0375,0.023
30,45,300,0.0219,0.0168,0.0,0.0442,0.0286
30,60,150,0.0218,0.0208,0.0,0.0355,0.023
10,10,60,0.0217,0.0133,0.0003,0.058,0.0356
10,30,120,0.0215,0.018,0.0,0.0397,0.0257
30,60,45,0.0214,0.0221,0.0,0.032,0.0207
30,45,30,0.0214,0.0207,0.0,0.034,0.022
10,60,90,0.0212,0.0115,0.0,0.0604,0.0391
10,60,0,0.0211,0.0247,0.0,0.0278,0.018
30,30,10,0.0209,0.0171,0.0,0.0394,0.0255
10,30,300,0.0207,0.0119,0.0,0.0557,0.036
30,45,0,0.0206,0.0176,0.0,0.0395,0.0242
0,60,120,0.0204,0.0206,0.0,0.0314,0.0203
10,45,300,0.0203,0.0129,0.0,0.0492,0.0318
30,60,30,0.0202,0.0199,0.0,0.0316,0.0204
30,10,10,0.0201,0.0222,0.0018,0.0267,0.0181
30,45,120,0.0201,0.0131,0.0,0.0477,0.0309
10,60,150,0.0197,0.0174,0.0,0.0366,0.0223
30,60,90,0.0197,0.0186,0.0,0.0322,0.0208
0,60,0,0.0195,0.0228,0.0,0.0258,0.0167
0,10,150,0.0195,0.0101,0.0002,0.0619,0.0379
0,60,60,0.0195,0.0153,0.0,0.0382,0.0247
30,60,0,0.0195,0.0222,0.0,0.0279,0.017
0,0,150,0.0195,0.0082,0.0,0.0757,0.0463
10,60,30,0.0193,0.0172,0.0,0.0335,0.0217
10,90,120,0.0193,0.0191,0.0,0.0285,0.0196
10,30,10,0.0192,0.0116,0.0,0.052,0.0318
30,45,10,0.019,0.0159,0.0,0.0373,0.0228
0,0,300,0.019,0.0081,0.0047,0.07,0.0449
0,10,60,0.019,0.0076,0.0005,0.0733,0.0477
10,30,60,0.0189,0.0102,0.0,0.0578,0.0354
30,0,45,0.0188,0.0191,0.0001,0.0301,0.0185
0,45,90,0.0185,0.012,0.0,0.0443,0.0287
